Chocolate Cookie Jam - An Jone,"[8.9652995e-06 1.1065294e-05 1.2988890e-05 ... 1.3926645e-01 1.4009516e-01
 1.2704040e-01]"
Chocolate Cookie Jam - An Jone,[0.11259353 0.13906984 0.15972356 ... 0.04740888 0.05803373 0.05739879]
Chocolate Cookie Jam - An Jone,[0.20403333 0.2870268  0.3215585  ... 0.13787621 0.11847181 0.08972633]
Clean and Dance - An Jone,"[9.0724461e-06 1.1003476e-05 1.2629435e-05 ... 2.4163364e-03 2.2258705e-03
 1.7082532e-03]"
Clean and Dance - An Jone,[0.34682757 0.38680133 0.4531429  ... 0.14187334 0.13712998 0.116335  ]
Clean and Dance - An Jone,[0.32563308 0.3592663  0.40968096 ... 0.13481972 0.1250922  0.11821192]
Commander Impulse - DivKid,[0.0328724  0.03407468 0.03588798 ... 0.27268416 0.27351722 0.23291907]
Commander Impulse - DivKid,[0.16999505 0.20695212 0.25444928 ... 0.1774932  0.1712171  0.15014477]
Commander Impulse - DivKid,[0.14948429 0.18294643 0.21437022 ... 0.00067635 0.00067146 0.00057201]
Cosmic Drift - DivKid,[0.1774505  0.2358817  0.2786776  ... 0.17812039 0.17433496 0.16061631]
Cosmic Drift - DivKid,[0.11750469 0.1272087  0.13570707 ... 0.11809787 0.12149093 0.10356293]
County Lines - Telecasted,"[8.9906884e-05 1.0990243e-04 1.4838258e-04 ... 2.4312079e-01 2.5096244e-01
 2.1680792e-01]"
County Lines - Telecasted,[0.16224019 0.2067087  0.24366766 ... 0.17137533 0.18801086 0.16688181]
Crops - Telecasted,"[6.8919879e-05 7.7385106e-05 8.7722488e-05 ... 3.5809177e-01 3.5270885e-01
 3.0840087e-01]"
Crops - Telecasted,[0.2544629  0.28678554 0.34530336 ... 0.2639425  0.2422526  0.21090099]
Cumbia City - An Jone,"[8.61611898e-06 1.03760030e-05 1.20159175e-05 ... 5.80291972e-02
 9.11521167e-02 8.79196078e-02]"
Dead Forest - Brian Bolger,[0.03959453 0.06878095 0.07558254 ... 0.12631233 0.13921623 0.12827735]
Dead Forest - Brian Bolger,[0.09131019 0.13248713 0.14511089 ... 0.05835463 0.05002403 0.04684388]
Depth Fuse - French Fuse,[0.         0.         0.         ... 0.21989168 0.1711199  0.12317758]
