"Chasing the Dragons - Joel Cummins, Kris Myers, Andy Farag","[ 2.1859964e-06 -9.4499364e-07 -6.5039444e-07 ...  2.4961196e-02
  3.1763628e-02  2.5697155e-02]"
Chocolate Cookie Jam - An Jone,"[-8.0213783e-07  1.1990198e-07 -1.2959168e-06 ... -2.6826293e-03
 -8.1007779e-03 -1.5643710e-02]"
Chocolate Cookie Jam - An Jone,"[-0.04902878 -0.04412377 -0.05230689 ...  0.03212344  0.02905608
  0.03733505]"
Chocolate Cookie Jam - An Jone,"[ 0.02955084  0.02223519  0.01836901 ... -0.14836346 -0.12890491
 -0.15814735]"
Clean and Dance - An Jone,"[-7.0915041e-07  1.1265568e-06 -1.4051086e-06 ...  3.6527895e-04
  3.0269311e-04 -2.8829789e-04]"
Clean and Dance - An Jone,"[-0.15301359 -0.13315152 -0.09341441 ...  0.03442387  0.02289169
  0.04676567]"
Clean and Dance - An Jone,[0.03833751 0.03313419 0.02257692 ... 0.06135725 0.0687386  0.06524356]
Commander Impulse - DivKid,"[-0.01323748  0.00762124  0.03072719 ... -0.03514131 -0.02354569
 -0.03459397]"
Commander Impulse - DivKid,"[-0.09061803 -0.0707894  -0.050912   ... -0.013175   -0.0098713
 -0.0088117 ]"
Commander Impulse - DivKid,"[ 4.3525081e-02  6.5436289e-02  8.5208260e-02 ... -3.0958217e-06
  2.3155344e-05 -2.2264378e-05]"
Cosmic Drift - DivKid,"[-0.11141691 -0.10126114 -0.11069822 ... -0.0250453   0.00505314
  0.10653671]"
Cosmic Drift - DivKid,"[-0.06357058 -0.17735153 -0.07248761 ...  0.07684363  0.0803685
  0.08358296]"
County Lines - Telecasted,"[-4.4969420e-06 -3.8978565e-06 -1.2651041e-07 ...  2.1726647e-02
  2.3758529e-02  1.1738218e-02]"
County Lines - Telecasted,"[-0.03340932 -0.00965808 -0.01688484 ...  0.0867245   0.10839745
  0.1391502 ]"
Crops - Telecasted,"[-4.0488585e-06 -2.2461791e-06 -3.0034939e-06 ... -7.4534208e-02
 -6.5602168e-02 -6.1934277e-02]"
Crops - Telecasted,[0.03460738 0.0555573  0.07224206 ... 0.05838975 0.05831383 0.06782105]
Cumbia City - An Jone,"[ 4.7443127e-06  1.0047318e-06 -5.5418236e-06 ...  5.4062810e-02
  3.6949392e-02  3.5705194e-02]"
Dead Forest - Brian Bolger,"[ 0.05324694  0.0678924   0.04567156 ...  0.00862469 -0.00486138
 -0.02595113]"
Dead Forest - Brian Bolger,"[-0.03727858 -0.02346274 -0.02092139 ...  0.01401439  0.01763527
  0.0217628 ]"
Depth Fuse - French Fuse,[0.         0.         0.         ... 0.02535233 0.01584199 0.024301  ]
Der König - Jeremy Black,"[-0.00136677 -0.00150194 -0.00112118 ...  0.00884567  0.00765721
 -0.00060624]"
Der König - Jeremy Black,"[-0.00882245 -0.000857   -0.01226985 ... -0.01964382 -0.02366124
 -0.00603473]"
Der König - Jeremy Black,"[-0.00014911 -0.01066668 -0.01660339 ...  0.00293709  0.00322074
  0.00349778]"
Digifunk - DivKid,"[-0.00578741 -0.0057994  -0.00530318 ... -0.00174037 -0.00089239
  0.01344571]"
Digifunk - DivKid,[0.03861662 0.02834466 0.03177035 ... 0.01127432 0.01152581 0.02526716]
Digifunk - DivKid,"[ 0.03492992  0.03564488  0.0487991  ... -0.00840282 -0.00738895
 -0.0078903 ]"
Digital Ghosts - Unicorn Heads,[0.06354409 0.06238483 0.06115711 ... 0.02235386 0.0229     0.02107086]
